                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3539,                 5.9474,                 4.1704,                  9e-05,                0.00781,                  5e-05,                      0,                 4.1998,                 5.2184,                 4.1494,              0.0003375,              0.0003375,              0.0003375
                      2,                 4.1127,                 5.5047,                 3.9889,                  9e-05,                0.00781,                  5e-05,                      0,                 4.1153,                 5.0411,                 4.0907,             0.00068523,             0.00068523,             0.00068523
                      3,                 3.5257,                 4.9023,                 3.5938,                  9e-05,                0.00781,                  5e-05,                      0,                 4.3199,                 4.9636,                 4.2699,              0.0010307,              0.0010307,              0.0010307
                      4,                 3.1669,                 4.3711,                 3.0499,                  9e-05,                0.00781,                  5e-05,                      0,                 4.2983,                   4.84,                 4.2772,              0.0012376,              0.0012376,              0.0012376
                      5,                 3.0223,                 4.0429,                 2.7318,                 0.0006,                0.07328,                 0.0008,                0.00028,                 3.5128,                 4.5625,                 3.5443,              0.0012335,              0.0012335,              0.0012335
                      6,                 2.8473,                 3.6498,                  2.496,                0.29105,                0.04633,                0.02919,                0.01184,                 2.8436,                 3.9257,                 2.6118,              0.0012294,              0.0012294,              0.0012294
                      7,                 2.7464,                 3.3587,                 2.3581,                0.09858,                0.23153,                 0.0689,                0.02116,                 2.7052,                 4.7248,                 2.4108,              0.0012252,              0.0012252,              0.0012252
                      8,                  2.586,                 3.0343,                 2.2041,                0.15946,                0.21262,                0.16042,                0.05647,                 2.5955,                  2.934,                 2.2091,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.4345,                 2.6503,                 2.0535,                0.45359,                0.28365,                0.21702,                0.08499,                 2.5071,                 3.0341,                 2.1476,               0.001217,               0.001217,               0.001217
                     10,                 2.4012,                 2.5805,                 2.0043,                0.36549,                0.27803,                0.24905,                0.09553,                 2.2286,                 2.2273,                 1.9964,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.3095,                 2.4274,                 1.9366,                0.52804,                0.28602,                0.30912,                0.12704,                 2.2435,                  2.165,                 1.9306,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.2559,                 2.2529,                  1.894,                0.48825,                0.40582,                0.35039,                0.15376,                 2.1761,                  2.338,                  1.896,              0.0012046,              0.0012046,              0.0012046
                     13,                 2.1303,                 2.0887,                 1.8286,                0.56953,                0.38658,                0.41194,                0.18513,                 2.0496,                 1.8828,                 1.7886,              0.0012005,              0.0012005,              0.0012005
                     14,                 2.0692,                 1.9273,                 1.7683,                0.61311,                 0.4511,                0.45359,                0.19018,                 2.1083,                 1.7905,                 1.8018,              0.0011964,              0.0011964,              0.0011964
                     15,                  2.022,                 1.7885,                  1.703,                0.60677,                0.40979,                0.43945,                0.20444,                 2.0363,                 1.8649,                 1.7392,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.9742,                 1.7385,                 1.6626,                0.49894,                0.40358,                0.41669,                0.19054,                 2.0706,                 1.9462,                 1.7978,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.9525,                  1.619,                  1.627,                 0.6353,                0.46795,                0.48165,                0.22433,                 1.9869,                  1.616,                 1.7194,               0.001184,               0.001184,               0.001184
                     18,                 1.9838,                  1.665,                 1.6882,                0.65825,                0.45862,                0.50371,                0.22404,                 1.9612,                 1.5246,                 1.6848,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.8812,                  1.561,                 1.6086,                0.65494,                 0.4238,                0.49192,                0.24463,                 1.8755,                 1.6439,                 1.6829,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.8509,                 1.5512,                 1.6064,                0.63222,                0.53976,                0.52809,                0.26378,                 1.8695,                   1.47,                  1.638,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.9149,                 1.5588,                 1.6115,                0.69362,                0.45819,                0.53849,                0.25764,                  1.865,                 1.4422,                 1.6369,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.7866,                 1.4359,                 1.5304,                0.71613,                0.46848,                0.54198,                0.25412,                 1.9206,                 1.5101,                 1.6248,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.7977,                  1.479,                 1.5474,                0.68797,                0.51334,                0.57058,                0.28264,                 1.8157,                 1.3239,                 1.5974,              0.0011593,              0.0011593,              0.0011593
